STATUS | wrapper  | 2020/03/09 14:51:57 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/09 14:51:57 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/09 14:51:57 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/09 14:51:57 | 
STATUS | wrapper  | 2020/03/09 14:51:57 | Launching a JVM...
INFO   | jvm 1    | 2020/03/09 14:51:57 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/09 14:51:57 | WrapperStartStopApp Error: Unable to locate the class uk.co.planetbeyond.service.main.Stopper: java.lang.ClassNotFoundException: uk.co.planetbeyond.service.main.Stopper
INFO   | jvm 1    | 2020/03/09 14:51:57 | 
INFO   | jvm 1    | 2020/03/09 14:51:57 | WrapperStartStopApp Usage:
INFO   | jvm 1    | 2020/03/09 14:51:57 |   java org.tanukisoftware.wrapper.WrapperStartStopApp {start_class{/start_method}} {start_arg_count} [start_arguments] {stop_class{/stop_method}} {stop_wait} {stop_arg_count} [stop_arguments]
INFO   | jvm 1    | 2020/03/09 14:51:57 | 
INFO   | jvm 1    | 2020/03/09 14:51:57 | Where:
INFO   | jvm 1    | 2020/03/09 14:51:57 |   start_class:     The fully qualified class name to run to start the 
INFO   | jvm 1    | 2020/03/09 14:51:57 |                    application.
INFO   | jvm 1    | 2020/03/09 14:51:57 |   start_arg_count: The number of arguments to be passed to the start class's 
INFO   | jvm 1    | 2020/03/09 14:51:57 |                    main method.
INFO   | jvm 1    | 2020/03/09 14:51:57 |   start_arguments: The arguments that would normally be passed to the start 
INFO   | jvm 1    | 2020/03/09 14:51:57 |                    class application.
INFO   | jvm 1    | 2020/03/09 14:51:57 |   stop_class:      The fully qualified class name to run to stop the 
INFO   | jvm 1    | 2020/03/09 14:51:57 |                    application.
INFO   | jvm 1    | 2020/03/09 14:51:57 |   stop_wait:       When stopping, should the Wrapper wait for all threads to 
INFO   | jvm 1    | 2020/03/09 14:51:57 |                    complete before exiting (true/false).
INFO   | jvm 1    | 2020/03/09 14:51:57 |   stop_arg_count:  The number of arguments to be passed to the stop class's 
INFO   | jvm 1    | 2020/03/09 14:51:57 |                    main method.
INFO   | jvm 1    | 2020/03/09 14:51:57 |   stop_arguments:  The arguments that would normally be passed to the stop 
INFO   | jvm 1    | 2020/03/09 14:51:57 |                    class application.
STATUS | wrapper  | 2020/03/09 14:51:59 | <-- Wrapper Stopped
WARN   | wrapper  | 2020/03/09 14:52:57 | The "wrapper.java.command" property was redefined on line #45 of configuration file: /home/samiullah/workspace/socialive_ivr_engine/conf/wrapper.conf
WARN   | wrapper  | 2020/03/09 14:52:57 |   Old Value wrapper.java.command=java
WARN   | wrapper  | 2020/03/09 14:52:57 |   New Value wrapper.java.command=%JAVA_HOME%/bin/java
STATUS | wrapper  | 2020/03/09 14:52:57 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/09 14:52:57 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/09 14:52:57 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/09 14:52:57 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/09 14:52:57 | 
STATUS | wrapper  | 2020/03/09 14:52:57 | Launching a JVM...
INFO   | jvm 1    | 2020/03/09 14:52:57 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/09 14:52:58 | WrapperStartStopApp Error: Not enough arguments.  Minimum 5 required.
INFO   | jvm 1    | 2020/03/09 14:52:58 | 
INFO   | jvm 1    | 2020/03/09 14:52:58 | WrapperStartStopApp Usage:
